condition,frame,canonical_filename,original_filename,old_postimages_url,size_kb
STUDYROOM_FE,4,STUDYROOM_FE_04.jpg,Studyroom-FE-v3-frame-04-studying-alone-no-subtitle.png,https://i.postimg.cc/v8kW57tC/Studyroom-FE-v3-frame-04-studying-alone-no-subtitle.png,84.8
STUDYROOM_FE,5,STUDYROOM_FE_05.jpg,Studyroom-FE-v3-frame-05-returns-here-we-go-subtitle.png,https://i.postimg.cc/DyG16Wxj/Studyroom-FE-v3-frame-05-returns-here-we-go-subtitle.png,95.7
STUDYROOM_FU,1,STUDYROOM_FU_01.jpg,Studyroom-FU-frame-01-studying-together-no-subtitle.png,https://i.postimg.cc/h4T8nym3/Studyroom-FU-frame-01-studying-together-no-subtitle.png,94.2
STUDYROOM_FU,2,STUDYROOM_FU_02.jpg,Studyroom-FU-frame-02-says-get-coffee-books-subtitle.png,https://i.postimg.cc/c1w7W93k/Studyroom-FU-frame-02-says-get-coffee-books-subtitle.png,99.3
STUDYROOM_FU,3,STUDYROOM_FU_03.jpg,Studyroom-FU-frame-03-exiting-door-no-subtitle.png,https://i.postimg.cc/DfLQhjGC/Studyroom-FU-frame-03-exiting-door-no-subtitle.png,86.5
STUDYROOM_FU,4,STUDYROOM_FU_04.jpg,Studyroom-FU-frame-04-studying-alone-no-subtitle.png,https://i.postimg.cc/PfYbH3D3/Studyroom-FU-frame-04-studying-alone-no-subtitle.png,88.0
STUDYROOM_FU,5,STUDYROOM_FU_05.jpg,Studyroom-FU-frame-05-says-study-later-subtitle.png,https://i.postimg.cc/dtF2V2Rm/Studyroom-FU-frame-05-says-study-later-subtitle.png,100.1
STUDYROOM_NE,1,STUDYROOM_NE_01.jpg,1-two-students-studying.png,https://i.postimg.cc/7hRKtMgY/1-two-students-studying.png,97.4
STUDYROOM_NE,2,STUDYROOM_NE_02.jpg,2-my-friend-will-join-us.png,https://i.postimg.cc/7PttLDjj/2-my-friend-will-join-us.png,101.2
STUDYROOM_NE,3,STUDYROOM_NE_03.jpg,3-one-student-leaves.png,https://i.postimg.cc/3JyS4VTk/3-one-student-leaves.png,93.6
STUDYROOM_NE,4,STUDYROOM_NE_04.jpg,4-friend-arrives.png,https://i.postimg.cc/cLwFT3C2/4-friend-arrives.png,99.7
STUDYROOM_NE,5,STUDYROOM_NE_05.jpg,5-three-students-studying.png,https://i.postimg.cc/mrS8WGQ5/5-three-students-studying.png,98.9
STUDYROOM_NU,1,STUDYROOM_NU_01.jpg,Studyroom-NU-frame-01-studying-together-no-subtitle.png,https://i.postimg.cc/gJNWLqXT/Studyroom-NU-frame-01-studying-together-no-subtitle.png,95.7
STUDYROOM_NU,2,STUDYROOM_NU_02.jpg,Studyroom-NU-frame-02-says-get-coffee-books-subtitle.png,https://i.postimg.cc/0QcsKdMH/Studyroom-NU-frame-02-says-get-coffee-books-subtitle.png,102.5
STUDYROOM_NU,3,STUDYROOM_NU_03.jpg,Studyroom-NU-frame-03-leaving-with-cup-no-subtitle.png,https://i.postimg.cc/XJQbBcGP/Studyroom-NU-frame-03-leaving-with-cup-no-subtitle.png,92.3
STUDYROOM_NU,4,STUDYROOM_NU_04.jpg,Studyroom-NU-frame-04-studying-alone-no-subtitle.png,https://i.postimg.cc/cHXStMgj/Studyroom-NU-frame-04-studying-alone-no-subtitle.png,89.5
STUDYROOM_NU,5,STUDYROOM_NU_05.jpg,Studyroom-NU-frame-05-friend-decides-to-join-subtitle.png,https://i.postimg.cc/9MJhwtRs/Studyroom-NU-frame-05-friend-decides-to-join-subtitle.png,101.6
